Posto;CNPJ;Cidade;UF;Latitude;Longitude;S10;S500;Arla;Data Negociacao;Homologacao;Observacao;Telefone
RODO POSTO MARFIM LTDA;;JOAO MONLEVADE;MG;-19,840006;-43,198213;;;;;;;3138525393
J L CARVALHO DA SILVA EIRELI ME;;DEMERVAL LOBAO;PI;-5,363587;-42,674719;6,88;6,78;3,88;02/07/2026;;;8698539696
NOVA SANTA RITA SCUDERIA;;NOVA SANTA RITA;RS;-29,826398;-51,325447;6,01;5,99;3,03;07/07/2026;;;4933214704
POSTO UMARITUBA LTDA;;SAO GONCALO DO AMARANTE;CE;-3,667724;-38,979999;6,78;;;18/04/2026;;;4933221168
DECIO COMERCIO E SERVICOS RODOVIARIOS LTDA;;UBERLANDIA;MG;-19,014537;-48,208174;6,43;6,58;2,98;07/07/2026;;;00000000000
ESTACION DE SERVICIOS DIGESA LIMITADA;;LOS ANDES;EX;-32,839861;-70,544331;;;;;;;4933214704
COMERCIO DE COMBUSTIVEIS CACHOEIRA LTDA;;CACHOEIRA DOS INDIOS;PB;-6,939454;-38,720941;6,84;6,68;3,98;06/07/2026;;;8335581025
MP POSTOS E LOGISTICA LTDA GETULIO VARGAS FILIAL 14;;GETULIO VARGAS;RS;-27,870214;-52,225396;6;5,95;2,98;06/07/2026;;;05431968351
TORRE ALTA COM DE COMB LTDA;;PONTA GROSSA;PR;-25,179266;-50,09818;6,28;5,78;3,68;06/07/2026;;;4232293311
REDE DE POSTOS MARAJO PARAISO DO TOCANTINS LTDA;;PARAISO DO TOCANTINS;TO;-10,146617;-48,885506;6,44;6,58;3,47;06/07/2026;;;6239996262
VILA ESPERANCA COMERCIO DE COMBUSTIVEIS LTDA;;RECIFE;PE;-8,095241;-35,044829;6,68;;;06/07/2026;;;8121192772
SIM REDE - ITAJAI SANTA ROSA;;ITAJAI;SC;-26,887094;-48,724401;5,98;5,88;3,04;03/07/2026;;;55473249970
POSTO GIGANTE DA DUTRA LTDA;;RIO DE JANEIRO;RJ;-22,814676;-43,328127;7,08;6,88;;19/06/2026;;;2130148213
ESTACION DE SERVICIO LOS PRIMOS AGREOCOM S.A.;;CARLOS CASARES;EX;-35,657213;-61,4013;;;;;;;4933214704
AUTO POSTO PRA FRENTE BRASIL LTDA 08;;CASCAVEL;PR;-24,878255;-53,56179;6,18;5,93;;04/07/2026;;;45991559663
REDE DE POSTOS MARAJO TOCANTINS LTDA;;NOVA OLINDA;TO;-7,726936;-48,444766;6,39;6,39;3,48;05/07/2026;;;6239996262
AUTO POSTO FORMOSA LTDA;;FORMOSA;GO;-15,560834;-47,257643;6,78;6,68;;04/07/2026;;;6136316830
ESTACION DE SERVICIO ELOY GUERRERO;;MENDOZA;EX;-33,128335;-68,319217;;;;;;;4933214704
ESTACION YPF - RIO SALADO CHICHINALES;;CHICHINALES;EX;-39,116692;-66,929002;;;;;;;4933214704
AUTO POSTO MARAJO FRUTAL LTDA;;FRUTAL;MG;-19,848528;-48,964116;6,43;6,38;3,48;27/06/2026;;Renato;62981760472
POSTO UMARITUBA LTDA;;HORIZONTE;CE;-4,134211;-38,479757;6,88;;3,79;25/03/2026;;;8540059190
REDE DE POSTOS MARAJO BRASILANDIA LTDA;;BRASILANDIA DO TOCANTINS;TO;;;6,44;;3,48;03/07/2026;;;6239996262
REDE DE POSTOS MARAJO WANDERLANDIA LTDA;;WANDERLANDIA;TO;-6,970259;-48,100483;6,39;6,34;3,48;03/07/2026;;;6239996262
POSTO ALDO CUIABA;;CUIABA;MT;-15,668829;-55,954648;6,81;6,47;3,98;07/06/2026;;;6536165080
MG - REDE DOM PEDRO DE POSTOS LTDA (DP BETIM 1);;BETIM;MG;-20,017395;-44,224867;6,68;6,48;3,18;02/07/2026;;;3135312845
J L CARVALHO DA SILVA ME;;PIRIPIRI;PI;-4,318993;-41,779816;6,88;6,68;3,88;27/06/2026;;;8934219132
AUTO POSTO BANDEIRANTES COMERCIO DE COMBUSTIVEIS LTDA;;JUARA;MT;-11,269072;-57,492729;7,24;7,07;;01/07/2026;;;06635565145
SIM REDE - VACARIA MONTE CLARO;;VACARIA;RS;-28,50712;-50,941176;6,11;6,08;3,03;12/06/2026;;;555432329665
REDE DE POSTOS MARAJO RIO VERDE LTDA;;RIO VERDE;GO;-17,858454;-50,752784;6,48;6,46;3,48;26/06/2026;;;6239996262
AUTO SERVICO CANAA LTDA;;VIANA;ES;-20,377395;-40,448062;6,68;6,58;3,98;02/06/2026;;;27999931401
REDE DE POSTOS MARAJO ARAPORA LTDA;;ARAPORA;MG;-18,480206;-49,189203;6,43;6,33;;30/06/2026;;;6239996262
R.A. MAHLE E CIA LTDA;;DIAMANTE DO NORTE;PR;-22,665009;-52,871988;6,28;6,38;3,67;29/06/2026;;;4231226207
ELIZABETE KLEIN DE CARLI  CIA LTDA;;CAPITAO LEONIDAS MARQUES;PR;-25,497429;-53,598638;5,73;5,83;3,18;29/06/2026;;;4635471150
REDE DE POSTOS DE COMBUSTIVEIS MARAJO GRANDE CUIABA LTDA;;CUIABA;MT;-15,699879;-56,043606;6,64;6,64;;19/06/2026;;;6239996262
DECIO COMERCIO E SERVICOS RODOVIARIOS LTDA;;UBERLANDIA;MG;-18,821303;-48,24894;6,48;;2,98;25/06/2026;;;49999999999
